artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
Fluorescent Heights,1321991410,7,1g0yd,1,The Styrofoam Drone,283,Tourism,lofi
Winks,1323715744,6,17gqm,2,Everybody Taste,185,Slap Me Choke Me Cum On You,lofi
Giorgio Bassmatti,1321310523,8,1fvjq,1,Filles Sourires,243,L'hôtel particulier - Giorgio Bassmatti,lofi
Dreams West,1321897159,35,1c7xx,4,Pasta Primavera,246,EMC Corporation,lofi
Riley Jantzen,1320831365,13,1fqkb,1,The Jackplug,214,Mourning Doves,lofi
Green Gerry,1320658137,16,1fn6e,2,no fear of pop.,297,Cockroach Mosaicc maybe final 111,lofi
Fluorescent Heights,1320712922,5,1fpea,1,no fear of pop.,453,HIGHWAY DEATH,lofi
Ink Project,1319963499,13,1fg56,1,KEEPREAL,237,Flicker,lofi
Green Gerry,1320525261,6,1fn6d,1,Salad Fork,347,Short Stringsss,lofi
weather balloons,1327103997,4,1hgag,1,Gold Soundz,118,Poking My Teeth Out,lofi
Nomen Novum,1327786134,9,1feh9,2,QRO Magazine,253,Wicca Chimes,lofi
Ink Project,1325522533,2,1h0qw,1,The Get Downnn,267,Hot Lies,lofi
Ink Project,1325522529,1,1h0qv,1,The Get Downnn,227,Black Honey,lofi
Ink Project,1325522542,1,1h0qy,1,The Get Downnn,134,Ariel,lofi
Ink Project,1325522538,5,1h0qx,1,The Get Downnn,310,Eye Of Glass,lofi
Wilfried*,1325514551,3,1h0nc,1,WeWant2Wigoler,250,The Mum's Song 01/01/12,lofi
Wilfried*,1325514554,1,1h0nd,1,WeWant2Wigoler,384,Un baiser 01/01/12,lofi
Teen Suicide,1324280421,27,1cxd8,2,Cactus-Mouth,275,crying,lofi
The Baseball Field,1324924862,0,1gvfy,1,The Devil Has The Best Tuna,312,"it's boxing day, helena",lofi
Winks,1321115299,5,18jde,2,Pasta Primavera,207,Daisy Ingraham,lofi
weather balloons,1314920212,3,1e3js,1,QRO Magazine,222,Sunday Brave,lofi
Bill Fox,1315534569,7,zr1t,2,donewaiting,205,Appalachian Death Sigh,lofi
Green Gerry,1313694557,3,1dscy,1,Pasta Primavera,344,1990s,lofi
weather balloons,1314920221,3,1e3jt,1,QRO Magazine,157,It Doesn't Happen To You,lofi
Dreams West,1312393460,7,1c7xw,2,Relentless Noisemaker,93,Volvo,lofi
Dreams West,1312393445,5,1ddry,1,Relentless Noisemaker,226,P U R E // M 0 0 D $,lofi
Dreams West,1312393459,10,1dds1,1,Relentless Noisemaker,153,Super Gran Turismo,lofi
Nomen Novum,1311777718,1,1d8jn,1,The Dadada Music Blog,220,Permanent Makeup,lofi
Green Gerry,1311788249,2,1d7hs,2,Potholes In My Blog,174,Celery Salt (Spider Man Quit Fucking With Me) mp31,lofi
GOLDEN EYE,1319106569,6,1f8ns,1,No Modest Bear,210,Far Too Late,lofi
Dreamdate,1317930228,23,1a819,4,the bay bridged,155,07 Pyramids,lofi
Ink Project,1318519799,4,1f2as,1,Faronheit,236,Rewind Forward Replay,lofi
HTRK,1317400833,78,1cfm6,9,Mixtape Muse,217,Eat Yr Heart,lofi
winks,1317677318,3,1etps,1,Pasta Primavera,178,Commongrounds (original),lofi
Nomen Novum,1316136606,16,1edsx,1,Ohmpark,274,Millennials,lofi
Taps,1316641381,18,1ej66,1,unholy rhythms,201,fluttersad,lofi
OFM,1315879662,27,1eapq,1,MuuMuse,283,Artificial People (feat. Tinashe) (Single Mix),lofi
chicagojazzen,1316024905,0,1ecbw,1,It's a trap!,327,Jörn del 4,lofi
chicagojazzen,1312566590,1,1dfh2,1,It's a trap!,210,Duane Weber del 2,lofi
