artist,loved_count,mediaid,posted_count,sitename,time,title,loved
Jojee,2295,2chxr,9,Going Solo,221,Think Of Anything,False
SKEPTA,2252,2cb78,12,Pigeons and Planes,253,Ojuelegba Remix feat. Drake & Skepta,False
Royal,1954,2cey6,8,Pilerats,207,Passenger (Hotel Garuda Remix),False
Lewis Del Mar,2008,2cgqv,11,Turntable Kitchen,225,Memories,False
octobersveryown,2421,2cgye,14,The Passion of the Weiss,190,Drake ~ Charged Up,False
The Weeknd,8321,2bshg,6,THUMP,210,Can't Feel My Face (Rainer + Grimm Remix),False
RAEKO,3368,2chw6,15,Indietronica,250,Everybody Knows (feat. Mating Ritual),False
Ambassadeurs,1398,2cfbr,6,Indie Shuffle,279,Looking At You (feat. C Duncan)(Moods Remix),False
Skizzy Mars,8885,25qd9,6,Indie Shuffle,224,Lucy (Olivver Remix),False
Elohim,2196,2cet9,21,Nothing but hope and passion,200,Xanax,False
octobersveryown,5817,2cgyd,12,PASSIØN PARTY,270,Drake ~ Hotline Bling,False
Beat Connection,2571,2cfy5,11,blahblahblahscience,255,So Good,False
EVVY,4247,2cfg8,11,Going Solo,251,Tidal Wave,False
Mura Masa,12045,2an66,16,Poetry in an Empty Coke Can,197,6. Lovesick Fuck,False
Chet Faker,9458,2ch9v,42,TheWebTape,224,1998 feat. Banks,False
Bag Raiders,2982,2cbrq,9,art felicis,234,Waterfalls,False
Jamie XX,5817,2bxh4,8,Through The Wire Music,221,Just Saying (Samuel Proffitt Remix),False
Cassian,5036,28adb,12,Beautiful Buzzz,368,Running (Plastic Plates Remix),False
Major Lazer,17926,2bmb6,8,Musikfar,233,Be Together (feat. Wild Belle),False
Foals,3956,2cdfq,20,Noonday Tune,244,Mountain At My Gates,False
JR JR,2535,2ccdn,5,You Hear That?!?,228,Gone,False
Zola Blood,2527,2cb23,34,Noonday Tune,278,Play Out,False
kiiara,4568,2ccj0,14,Pick Up The Headphones,261,Tennessee,False
The White Panda,8324,2ce0p,4,Audio Aquarium,180,Try Madness (Dej Loaf // Muse),False
Rationale,4470,2cdfr,15,Vehlinggo,212,Fuel to the Fire,False
GIBBZmusic,1894,2cbsf,12,J(am) of the Day,269,Love Again,False
Years & Years,1662,2cdpk,3,acid stag,221,Desire (Feki Remix),False
Dawn Golden,6510,25nbf,15,First Ear,214,All I Want (Manila Killa Remix),False
Kanye West,4707,25ke4,6,D SQUARED,286,Bound 2 (The Rooftop Boys Remix),False
Olivver,6767,2583z,13,Operation Every Band,145,Lucy (Hurt People Hurt People),False
Rustie,10543,25pza,44,IHEARTCOMIX,181,Attak (feat. Danny Brown),False
